tweet_id,rating_numerator,rating_denominator,name,stage,date,time
892420643555336193,13,10,Phineas,None,2017-08-01 00:00:00,2019-01-21 16:23:56
892177421306343426,13,10,Tilly,None,2017-08-01 00:00:00,2019-01-21 00:17:27
891815181378084864,12,10,Archie,None,2017-07-31 00:00:00,2019-01-21 00:18:03
891689557279858688,13,10,Darla,None,2017-07-30 00:00:00,2019-01-21 15:58:51
891327558926688256,12,10,Franklin,None,2017-07-29 00:00:00,2019-01-21 16:00:24
891087950875897856,13,10,None,None,2017-07-29 00:00:00,2019-01-21 00:08:17
890971913173991426,13,10,Jax,None,2017-07-28 00:00:00,2019-01-21 16:27:12
890729181411237888,13,10,None,None,2017-07-28 00:00:00,2019-01-21 00:22:40
890609185150312448,13,10,Zoey,None,2017-07-27 00:00:00,2019-01-21 16:25:51
890240255349198849,14,10,Cassie,doggo,2017-07-26 00:00:00,2019-01-21 15:59:51
890006608113172480,13,10,Koda,None,2017-07-26 00:00:00,2019-01-21 00:31:25
889880896479866881,13,10,Bruno,None,2017-07-25 00:00:00,2019-01-21 16:11:53
889665388333682689,13,10,None,puppo,2017-07-25 00:00:00,2019-01-21 01:55:32
889638837579907072,12,10,Ted,None,2017-07-25 00:00:00,2019-01-21 00:10:02
889531135344209921,13,10,Stuart,puppo,2017-07-24 00:00:00,2019-01-21 17:02:04
889278841981685760,13,10,Oliver,None,2017-07-24 00:00:00,2019-01-21 00:19:32
888917238123831296,12,10,Jim,None,2017-07-23 00:00:00,2019-01-21 00:22:39
888804989199671297,13,10,Zeke,None,2017-07-22 00:00:00,2019-01-21 16:56:37
888554962724278272,13,10,Ralphus,None,2017-07-22 00:00:00,2019-01-21 00:23:06
888078434458587136,12,10,Gerald,None,2017-07-20 00:00:00,2019-01-21 16:49:33
887705289381826560,13,10,Jeffrey,None,2017-07-19 00:00:00,2019-01-21 16:06:48
887517139158093824,14,10,None,None,2017-07-19 00:00:00,2019-01-21 03:39:09
887473957103951883,13,10,Canela,None,2017-07-19 00:00:00,2019-01-21 00:47:34
887343217045368832,13,10,None,None,2017-07-18 00:00:00,2019-01-21 16:08:03
887101392804085760,12,10,None,None,2017-07-18 00:00:00,2019-01-21 00:07:08
886983233522544640,13,10,Maya,None,2017-07-17 00:00:00,2019-01-21 16:17:36
886736880519319552,13,10,Mingus,None,2017-07-16 00:00:00,2019-01-21 23:58:41
886680336477933568,13,10,Derek,None,2017-07-16 00:00:00,2019-01-21 20:14:00
886366144734445568,12,10,Roscoe,pupper,2017-07-15 00:00:00,2019-01-21 23:25:31
886267009285017600,12,10,None,None,2017-07-15 00:00:00,2019-01-21 16:51:35
886258384151887873,13,10,Waffles,None,2017-07-15 00:00:00,2019-01-21 16:17:19
885984800019947520,12,10,Jimbo,None,2017-07-14 00:00:00,2019-01-21 22:10:11
885528943205470208,13,10,Maisey,None,2017-07-13 00:00:00,2019-01-21 15:58:47
885518971528720385,14,10,None,None,2017-07-13 00:00:00,2019-01-21 15:19:09
885167619883638784,13,10,None,None,2017-07-12 00:00:00,2019-01-21 16:03:00
884925521741709313,12,10,Earl,None,2017-07-12 00:00:00,2019-01-21 00:01:00
884876753390489601,13,10,Lola,None,2017-07-11 00:00:00,2019-01-21 20:47:12
884562892145688576,13,10,Kevin,None,2017-07-11 00:00:00,2019-01-21 00:00:02
884441805382717440,14,10,None,None,2017-07-10 00:00:00,2019-01-21 15:58:53
884247878851493888,13,10,None,None,2017-07-10 00:00:00,2019-01-21 03:08:17
884162670584377345,12,10,Yogi,doggo,2017-07-09 00:00:00,2019-01-21 21:29:42
883838122936631299,12,10,Noah,None,2017-07-09 00:00:00,2019-01-21 00:00:04
883482846933004288,5,10,Bella,None,2017-07-08 00:00:00,2019-01-21 00:28:19
883360690899218434,13,10,Grizzwald,floofer,2017-07-07 00:00:00,2019-01-21 16:22:55
883117836046086144,13,10,None,None,2017-07-07 00:00:00,2019-01-21 00:17:54
882992080364220416,13,10,Rusty,None,2017-07-06 00:00:00,2019-01-21 15:58:11
882762694511734784,12,10,Gus,pupper,2017-07-06 00:00:00,2019-01-21 00:46:41
882627270321602560,13,10,Stanley,None,2017-07-05 00:00:00,2019-01-21 15:48:34
882268110199369728,13,10,Alfy,None,2017-07-04 00:00:00,2019-01-21 16:01:23
882045870035918850,13,10,Koko,None,2017-07-04 00:00:00,2019-01-21 01:18:17
881906580714921986,12,10,Rey,None,2017-07-03 00:00:00,2019-01-21 16:04:48
881666595344535552,13,10,Gary,None,2017-07-03 00:00:00,2019-01-21 00:11:11
881633300179243008,17,10,None,None,2017-07-02 00:00:00,2019-01-21 21:58:53
881536004380872706,14,10,None,pupper,2017-07-02 00:00:00,2019-01-21 15:32:16
881268444196462592,12,10,Elliot,None,2017-07-01 00:00:00,2019-01-21 21:49:04
880935762899988482,13,10,Louis,None,2017-06-30 00:00:00,2019-01-21 23:47:07
880872448815771648,12,10,None,None,2017-06-30 00:00:00,2019-01-21 19:35:32
880465832366813184,12,10,Bella,None,2017-06-29 00:00:00,2019-01-21 16:39:47
880221127280381952,12,10,Jesse,None,2017-06-29 00:00:00,2019-01-21 00:27:25
880095782870896641,11,10,None,None,2017-06-28 00:00:00,2019-01-21 16:09:20
879862464715927552,13,10,Romeo,None,2017-06-28 00:00:00,2019-01-21 00:42:13
879674319642796034,14,10,None,None,2017-06-27 00:00:00,2019-01-21 12:14:36
879492040517615616,12,10,Bailey,None,2017-06-27 00:00:00,2019-01-21 00:10:17
879415818425184262,13,10,Duddles,None,2017-06-26 00:00:00,2019-01-21 19:07:24
879376492567855104,12,10,Jack,None,2017-06-26 00:00:00,2019-01-21 16:31:08
879050749262655488,11,10,Steven,None,2017-06-25 00:00:00,2019-01-21 18:56:45
879008229531029506,13,10,Beau,None,2017-06-25 00:00:00,2019-01-21 16:07:47
878776093423087618,13,10,Snoopy,puppo,2017-06-25 00:00:00,2019-01-21 00:45:22
878604707211726852,13,10,None,None,2017-06-24 00:00:00,2019-01-21 13:24:20
878281511006478336,13,10,Shadow,None,2017-06-23 00:00:00,2019-01-21 16:00:04
878057613040115712,14,10,Emmy,None,2017-06-23 00:00:00,2019-01-21 01:10:23
877736472329191424,13,10,Aja,None,2017-06-22 00:00:00,2019-01-21 03:54:17
877556246731214848,12,10,Penny,None,2017-06-21 00:00:00,2019-01-21 15:58:08
877316821321428993,13,10,Dante,None,2017-06-21 00:00:00,2019-01-21 00:06:44
